Region;City_size;Gender;Age;School;Marital_status;Employ;Owner;Pensioner;Student;Education;Lang_English;Lang_Others;Driver;Field_of_activity;Position;Work_Days;Work_Hour;Social_position;Satisf_degree;Health;Help_overcome;Level_material_security;Level_prof;Level_adapt;Level_depend;Social_status;Social_stratum;Number_ living_with;Money_need;Monetary_receipts;Housing;Life_change
Коми;Областной центр;Женский;39;Город респ., краев.,обл. подчин.;Разведен(а);Нет;Нет;Нет;Нет;Незак. высшее;Читаю, перевожу со словарем;;Нет;;;7.0;8.0;Низкое;Скорее, удовлетв.;Плохое;Связи, знакомства;2.0;5.0;2.0;2.0;2.0;Ниже среднего;4.0;10000.0;1600.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Мужской;60;Республ., краевой, обл. центр;Женат, замужем;Нет;Нет;Да;Нет;Среднее спец.;Не владею;;Да;;;;;Низкое;Скорее, удовлетв.;Хорошее;Связи, знакомства;5.0;5.0;5.0;9.0;5.0;Средний слой;3.0;10000.0;5000.0;Отдельная кварт.;Скорее, улучшится
Коми;Областной центр;Женский;35;Республ., краевой, обл. центр;Не состоял в браке;Да;Нет;Нет;Нет;Высшее, без уч. степени;Не владею;;Нет;Здравоохранение;Служащий, ИТР;6.0;5.0;Среднее;Затр. отв;Хорошее;Связи, знакомства;5.0;6.0;5.0;5.0;6.0;Средний слой;3.0;6000.0;5000.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Мужской;55;Поселок городск. типа;Женат, замужем;Да;Нет;Да;Нет;Общее среднее;Не владею;;Да;ЖКХ;Рабочий;6.0;8.0;Среднее;Скорее, не удовлетв.;Удовлетв.;Связи, знакомства;4.0;6.0;7.0;9.0;6.0;Средний слой;3.0;8000.0;4500.0;Отдельная кварт.;Скорее, улучшится
Коми;Областной центр;Женский;65;Село;Вдова (вдовец);Нет;Нет;Да;Нет;Неполное среднее;Не владею;коми;Нет;;;;;Низкое;Не удовлетворены;Плохое;Поддержка семьи;3.0;7.0;5.0;1.0;3.0;Ниже среднего;1.0;4000.0;1300.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Женский;23;Город респ., краев.,обл. подчин.;Не состоял в браке;Да;Нет;Нет;Нет;Высшее, без уч. степени;Читаю, перевожу со словарем;;Нет;ЖКХ;Служащий, ИТР;5.0;8.0;Среднее;Скорее, удовлетв.;Удовлетв.;Связи, знакомства;4.0;4.0;5.0;5.0;5.0;Средний слой;2.0;6000.0;4400.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Женский;32;Город респ., краев.,обл. подчин.;Женат, замужем;Да;Нет;Нет;Нет;Высшее, без уч. степени;Читаю, перевожу со словарем;коми;Нет;Сельское, лесное хоз-во;Руководитель отдела;5.0;7.0;Среднее;Скорее, удовлетв.;Удовлетв.;Связи, знакомства;4.0;6.0;5.0;5.0;5.0;Средний слой;3.0;10000.0;4500.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Мужской;28;Город респ., краев.,обл. подчин.;Женат, замужем;Да;Нет;Нет;Да;Незак. высшее;Не владею;немецкий, коми;Нет;Образование;Рабочий;5.0;8.0;Низкое;Не удовлетворены;Хорошее;Образование. профессия;3.0;4.0;4.0;4.0;4.0;Ниже среднего;3.0;5000.0;1800.0;Отдельная кварт.;Скорее, улучшится
Коми;Областной центр;Женский;36;Республ., краевой, обл. центр;Женат, замужем;Да;Нет;Нет;Нет;Высшее, без уч. степени;Не владею;;Нет;Образование;Служащий, ИТР;6.0;8.0;Среднее;Скорее, удовлетв.;Хорошее;Связи, знакомства;3.0;6.0;7.0;5.0;5.0;Средний слой;3.0;10000.0;4000.0;Отдельная кварт.;Скорее, улучшится
Коми;Областной центр;Женский;58;Село;Женат, замужем;Да;Нет;Да;Нет;Среднее спец.;Не владею;;Нет;Наука;Рабочий;5.0;8.0;Низкое;Не удовлетворены;Удовлетв.;Образование. профессия;1.0;8.0;1.0;1.0;1.0;Низший  слой;3.0;10000.0;2000.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Женский;56;Город респ., краев.,обл. подчин.;Женат, замужем;Да;Нет;Да;Нет;Среднее спец.;Не владею;коми;Нет;Здравоохранение;Рабочий;5.0;7.0;Среднее;Скорее, удовлетв.;Удовлетв.;Связи, знакомства;7.0;7.0;4.0;1.0;5.0;Средний слой;2.0;12000.0;6000.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Женский;62;Село;Вдова (вдовец);Да;Нет;Да;Нет;Общее среднее;Не владею;коми;Нет;Образование;Служащий, ИТР;5.0;7.0;Среднее;Затр. отв;Плохое;Поддержка семьи;4.0;6.0;7.0;7.0;5.0;Ниже среднего;1.0;3000.0;2000.0;Отдельная кварт.;Скорее, ухудшится
Коми;Областной центр;Мужской;61;Республ., краевой, обл. центр;Женат, замужем;Да;Нет;Да;Нет;Среднее спец.;Не владею;;Нет;Госуправление;Служащий, ИТР;5.0;8.0;Низкое;Не удовлетворены;Удовлетв.;Связи, знакомства;2.0;7.0;1.0;1.0;2.0;Ниже среднего;3.0;15000.0;5600.0;Отдельная кварт.;Скорее, ухудшится
Коми;Областной центр;Женский;50;Село;Женат, замужем;Нет;Нет;Да;Нет;Общее среднее;Не владею;коми;Нет;;;;;Среднее;Скорее, удовлетв.;Удовлетв.;Поддержка семьи;3.0;3.0;5.0;4.0;4.0;Средний слой;3.0;10000.0;3600.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Мужской;25;Поселок городск. типа;Женат, замужем;Да;Нет;Нет;Нет;Неполное среднее;Не владею;;Нет;Строит.,транспорт;Рабочий;6.0;10.0;Среднее;Скорее, не удовлетв.;Хорошее;Поддержка семьи;5.0;5.0;7.0;7.0;5.0;Средний слой;5.0;10000.0;6000.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Мужской;60;Город респ., краев.,обл. подчин.;Разведен(а);Нет;Нет;Да;Нет;Неполное среднее;Не владею;коми;Да;;;;;Низкое;Не удовлетворены;Плохое;Поддержка семьи;3.0;4.0;6.0;4.0;3.0;Ниже среднего;2.0;3000.0;1800.0;Отдельная кварт.;Скорее, ухудшится
Коми;Областной центр;Женский;50;Село;Разведен(а);Да;Нет;Да;Нет;Среднее спец.;Не владею;;Нет;Другое;Рабочий;6.0;8.0;Среднее;Скорее, не удовлетв.;Удовлетв.;Связи, знакомства;1.0;5.0;6.0;9.0;4.0;Средний слой;2.0;4000.0;1500.0;Отдельная кварт.;Скорее, ухудшится
Коми;Областной центр;Мужской;20;Поселок городск. типа;Не состоял в браке;Нет;Нет;Нет;Да;Общее среднее;Не владею;;Да;;;;;Среднее;Скорее, не удовлетв.;Хорошее;Образование. профессия;5.0;2.0;5.0;2.0;5.0;Средний слой;3.0;12000.0;7000.0;Отдельная кварт.;Скорее, улучшится
Коми;Областной центр;Женский;62;Республ., краевой, обл. центр;Женат, замужем;Нет;Нет;Да;Нет;Общее среднее;Не владею;;Нет;;;;;Среднее;Скорее, не удовлетв.;Удовлетв.;Поддержка семьи;5.0;4.0;8.0;2.0;5.0;Средний слой;2.0;3000.0;1500.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Женский;60;Республ., краевой, обл. центр;Женат, замужем;Нет;Нет;Да;Нет;Общее среднее;Не владею;;Нет;;;;;Среднее;Скорее, не удовлетв.;Удовлетв.;Поддержка семьи;5.0;4.0;5.0;2.0;5.0;Средний слой;2.0;5000.0;2000.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Мужской;46;Село;Разведен(а);Нет;Нет;Нет;Нет;Общее среднее;Не владею;;Нет;;;;;Низкое;Не удовлетворены;Удовлетв.;Поддержка семьи;3.0;9.0;5.0;8.0;3.0;Ниже среднего;5.0;10000.0;2000.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Мужской;66;Село;Женат, замужем;Нет;Нет;Да;Нет;Среднее спец.;Не владею;коми;Да;;;;;Среднее;Не удовлетворены;Очень плохо;Поддержка семьи;5.0;4.0;3.0;2.0;4.0;Средний слой;2.0;4000.0;1500.0;Отдельная кварт.;Скорее, ухудшится
Коми;Областной центр;Мужской;31;Поселок городск. типа;Женат, замужем;Да;Нет;Нет;Нет;Среднее спец.;Не владею;;Да;Юридич. услуги;Служащий, ИТР;5.0;9.0;Среднее;Скорее, не удовлетв.;Хорошее;Поддержка семьи;5.0;6.0;6.0;7.0;5.0;Средний слой;2.0;10000.0;2000.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Женский;28;Республ., краевой, обл. центр;Женат, замужем;Да;Нет;Нет;Нет;Среднее спец.;Читаю, перевожу со словарем;украинский;Нет;Культура, искусство;Служащий, ИТР;5.0;7.0;Среднее;Скорее, не удовлетв.;Удовлетв.;Поддержка семьи;2.0;5.0;8.0;9.0;5.0;Средний слой;4.0;15000.0;4000.0;Отдельная кварт.;Скорее, улучшится
Коми;Областной центр;Мужской;19;Поселок городск. типа;Не состоял в браке;Нет;Нет;Нет;Да;Общее среднее;Не владею;;Нет;;;;;Среднее;Скорее, не удовлетв.;Хорошее;Образование. профессия;5.0;2.0;5.0;2.0;5.0;Средний слой;2.0;8000.0;4000.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Женский;25;Поселок городск. типа;Женат, замужем;Да;Нет;Нет;Нет;Среднее спец.;Не владею;;Да;Госуправление;Служащий, ИТР;5.0;8.0;Среднее;Скорее, не удовлетв.;Удовлетв.;Поддержка семьи;5.0;5.0;7.0;5.0;5.0;Средний слой;3.0;8000.0;3000.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Мужской;38;Поселок городск. типа;Разведен(а);Да;Нет;Нет;Нет;Неполное среднее;Не владею;;Нет;ЖКХ;Рабочий;7.0;8.0;Среднее;Удовлетворены;Хорошее;Образование. профессия;5.0;7.0;6.0;8.0;5.0;Средний слой;1.0;8000.0;4500.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Мужской;39;Город респ., краев.,обл. подчин.;Женат, замужем;Нет;Нет;Нет;Нет;Среднее спец.;Не владею;;Да;;;6.0;9.0;Среднее;Затр. отв;Хорошее;Образование. профессия;1.0;6.0;2.0;3.0;5.0;Средний слой;5.0;6000.0;4000.0;Отдельная кварт.;Скорее, ухудшится
Коми;Областной центр;Мужской;41;Республ., краевой, обл. центр;Женат, замужем;Да;Нет;Нет;Нет;Высшее, с уч. степенью;Не владею;немецкий;Да;Топливно-энергетич.;Служащий, ИТР;5.0;8.0;Среднее;Скорее, удовлетв.;Удовлетв.;Образование. профессия;4.0;8.0;6.0;9.0;5.0;Ниже среднего;4.0;1500.0;9000.0;Отдельная кварт.;Скорее, улучшится
Коми;Областной центр;Женский;18;Поселок городск. типа;Не состоял в браке;Нет;Нет;Нет;Да;Общее среднее;Не владею;французский;Нет;;;;;Среднее;Скорее, не удовлетв.;Хорошее;Поддержка семьи;4.0;1.0;5.0;2.0;4.0;Ниже среднего;5.0;10000.0;4000.0;Отдельная кварт.;Скорее, улучшится
Коми;Областной центр;Мужской;40;Город респ., краев.,обл. подчин.;Женат, замужем;Да;Нет;Нет;Нет;Среднее спец.;Не владею;коми;Да;Военно-промышл.;Служащий, ИТР;6.0;9.0;Среднее;Скорее, удовлетв.;Хорошее;Связи, знакомства;5.0;7.0;7.0;7.0;5.0;Средний слой;4.0;15000.0;4500.0;Отдельная кварт.;Скорее, ухудшится
Коми;Областной центр;Женский;24;Республ., краевой, обл. центр;Разведен(а);Да;Нет;Нет;Нет;Высшее, без уч. степени;Читаю, могу объясняться;;Да;Другое;Служащий, ИТР;5.0;7.0;Среднее;Скорее, удовлетв.;Хорошее;Связи, знакомства;2.0;5.0;3.0;7.0;4.0;Ниже среднего;3.0;10000.0;4000.0;Отдельная кварт.;Не изменится
Коми;Областной центр;Женский;27;Республ., краевой, обл. центр;Не состоял в браке;Да;Нет;Нет;Нет;Высшее, без уч. степени;Читаю, перевожу со словарем;;Нет;Образование;Служащий, ИТР;6.0;6.0;Низкое;Скорее, не удовлетв.;Удовлетв.;Поддержка семьи;3.0;6.0;4.0;4.0;4.0;Ниже среднего;5.0;10000.0;5200.0;Отдельная кварт.;Скорее, ухудшится
Коми;Районный центр;Женский;63;Поселок городск. типа;Женат, замужем;Нет;Нет;Да;Нет;Неполное среднее;Не владею;;Нет;;;;;Низкое;Не удовлетворены;Плохое;Другое;2.0;7.0;3.0;6.0;3.0;Ниже среднего;2.0;6000.0;2300.0;Отдельная кварт.;Не изменится
Коми;Районный центр;Женский;31;Поселок городск. типа;Не состоял в браке;Нет;Нет;Нет;Нет;Общее среднее;Не владею;немецкий;Нет;;;5.0;7.0;Низкое;Не удовлетворены;Хорошее;Поддержка семьи;3.0;5.0;5.0;7.0;4.0;Средний слой;2.0;6000.0;1481.0;Отдельная кварт.;Скорее, улучшится
Коми;Районный центр;Мужской;40;Поселок городск. типа;Не состоял в браке;Нет;Нет;Нет;Нет;Общее среднее;Не владею;чувашский;Нет;;;;;Среднее;Затр. отв;Хорошее;Другое;2.0;7.0;4.0;2.0;4.0;Средний слой;3.0;50000.0;1158.0;Отдельная кварт.;Скорее, ухудшится
Коми;Районный центр;Мужской;63;Село;Женат, замужем;Нет;Нет;Да;Нет;Среднее спец.;Не владею;;Нет;;;;;Низкое;Удовлетворены;Плохое;Поддержка семьи;5.0;9.0;6.0;8.0;6.0;Средний слой;2.0;5000.0;2300.0;Отдельная кварт.;Не изменится
Коми;Районный центр;Мужской;32;Город респ., краев.,обл. подчин.;Разведен(а);Да;Нет;Нет;Нет;Среднее спец.;Не владею;;Нет;Строит.,транспорт;Рабочий;5.0;7.0;Низкое;Не удовлетворены;Хорошее;Связи, знакомства;2.0;7.0;6.0;9.0;5.0;Средний слой;1.0;7000.0;1900.0;Отдельная кварт.;Не изменится
Коми;Районный центр;Женский;52;Село;Вдова (вдовец);Да;Нет;Да;Нет;Общее среднее;Не владею;украинский;Нет;Строит.,транспорт;Рабочий;7.0;12.0;Низкое;Не удовлетворены;Удовлетв.;Другое;1.0;9.0;1.0;1.0;5.0;Средний слой;3.0;15000.0;2000.0;Отдельная кварт.;Не изменится
Коми;Районный центр;Женский;51;Село;Вдова (вдовец);Да;Нет;Да;Нет;Общее среднее;Не владею;;Нет;Строит.,транспорт;Рабочий;5.0;8.0;Среднее;Удовлетворены;Удовлетв.;Поддержка семьи;5.0;8.0;3.0;9.0;9.0;Средний слой;4.0;20000.0;6000.0;Отдельная кварт.;Не изменится
Коми;Районный центр;Женский;44;Поселок городск. типа;Женат, замужем;Да;Нет;Нет;Нет;Среднее спец.;Не владею;немецкий;Нет;Строит.,транспорт;Служащий, ИТР;5.0;7.0;Низкое;Затр. отв;Удовлетв.;Поддержка семьи;3.0;5.0;4.0;3.0;4.0;Средний слой;4.0;20000.0;5000.0;Отдельная кварт.;Скорее, ухудшится
Коми;Районный центр;Женский;43;Город респ., краев.,обл. подчин.;Женат, замужем;Нет;Нет;Нет;Нет;Среднее спец.;Не владею;;Нет;Розн. торг.,общ. пит., бытовое обсл.;;6.0;7.0;Низкое;Не удовлетворены;Удовлетв.;Поддержка семьи;4.0;4.0;6.0;5.0;6.0;Средний слой;3.0;10000.0;5000.0;Отдельная кварт.;Не изменится
Коми;Районный центр;Женский;47;Поселок городск. типа;Женат, замужем;Нет;Нет;Нет;Нет;Общее среднее;Не владею;молдавский, коми;Нет;;;;;Низкое;Не удовлетворены;Удовлетв.;Образование. профессия;5.0;6.0;7.0;9.0;7.0;Средний слой;4.0;10000.0;5000.0;Отдельная кварт.;Не изменится
Коми;Районный центр;Женский;70;Село;Вдова (вдовец);Нет;Нет;Да;Нет;Общее среднее;Не владею;;Нет;;;;;Среднее;Удовлетворены;Удовлетв.;Другое;3.0;2.0;4.0;2.0;3.0;Ниже среднего;1.0;2000.0;1000.0;Отдельная кварт.;Не изменится
Коми;Районный центр;Женский;31;Село;Женат, замужем;Да;Нет;Нет;Нет;Общее среднее;Не владею;украинский;Нет;Строит.,транспорт;Рабочий;5.0;7.0;Среднее;Не удовлетворены;Удовлетв.;Поддержка семьи;3.0;3.0;4.0;2.0;3.0;Средний слой;3.0;8000.0;2900.0;Отдельная кварт.;Не изменится
Коми;Районный центр;Мужской;34;Поселок городск. типа;Женат, замужем;Да;Нет;Нет;Нет;Среднее спец.;Не владею;;Нет;Строит.,транспорт;Служащий, ИТР;5.0;8.0;Среднее;Скорее, удовлетв.;Удовлетв.;Поддержка семьи;4.0;8.0;6.0;9.0;6.0;Средний слой;4.0;10000.0;3200.0;Отдельная кварт.;Скорее, улучшится
Коми;Районный центр;Мужской;55;Поселок городск. типа;Вдова (вдовец);Да;Нет;Да;Нет;Среднее спец.;Не владею;;Нет;Строит.,транспорт;Рабочий;5.0;8.0;Низкое;Не удовлетворены;Удовлетв.;Связи, знакомства;3.0;7.0;1.0;1.0;1.0;Ниже среднего;2.0;5000.0;2700.0;Отдельная кварт.;Не изменится
Коми;Районный центр;Женский;38;Село;Женат, замужем;Да;Нет;Нет;Нет;Общее среднее;Не владею;немецкий, коми;Нет;Здравоохранение;Рабочий;5.0;8.0;Низкое;Не удовлетворены;Удовлетв.;Образование. профессия;2.0;7.0;8.0;9.0;7.0;Средний слой;4.0;36000.0;2500.0;Отдельная кварт.;Скорее, улучшится
Коми;Районный центр;Женский;45;Город респ., краев.,обл. подчин.;Женат, замужем;Нет;Нет;Да;Нет;Среднее спец.;Не владею;немецкий, коми;Да;;;;;Низкое;Не удовлетворены;Плохое;Поддержка семьи;1.0;9.0;5.0;1.0;2.0;Ниже среднего;4.0;20000.0;1300.0;Отдельная кварт.;Не изменится
Коми;Районный центр;Женский;71;Село;Вдова (вдовец);Нет;Нет;Да;Нет;Неполное среднее;Не владею;коми;Нет;;;;;Низкое;Не удовлетворены;Плохое;Поддержка семьи;5.0;8.0;4.0;3.0;5.0;Средний слой;3.0;30000.0;2500.0;Отдельная кварт.;Скорее, улучшится
Коми;Районный центр;Женский;48;Город респ., краев.,обл. подчин.;Женат, замужем;Да;Нет;Нет;Нет;Высшее, без уч. степени;Читаю, могу объясняться;;Нет;Образование;Руководитель предпр.;5.0;7.0;Низкое;Скорее, не удовлетв.;Удовлетв.;Поддержка семьи;2.0;5.0;9.0;1.0;3.0;Средний слой;4.0;6000.0;2500.0;Отдельная кварт.;Не изменится
Коми;Районный центр;Женский;44;Город респ., краев.,обл. подчин.;Женат, замужем;Нет;Нет;Нет;Нет;Общее среднее;Не владею;коми;Нет;Розн. торг.,общ. пит., бытовое обсл.;;6.0;7.0;Низкое;Не удовлетворены;Удовлетв.;Поддержка семьи;4.0;5.0;7.0;7.0;5.0;Средний слой;4.0;40000.0;4500.0;Отдельная кварт.;Не изменится
Коми;Районный центр;Женский;36;Город респ., краев.,обл. подчин.;Женат, замужем;Да;Нет;Нет;Нет;Среднее спец.;Не владею;;Нет;ЖКХ;Рабочий;6.0;7.0;Низкое;Скорее, не удовлетв.;Удовлетв.;Образование. профессия;3.0;5.0;4.0;6.0;3.0;Ниже среднего;5.0;20000.0;1500.0;Отдельная кварт.;Скорее, улучшится
Коми;Районный центр;Женский;49;Поселок городск. типа;Разведен(а);Нет;Нет;Нет;Нет;Неполное среднее;Не владею;;Нет;;;;;Низкое;Затр. отв;Удовлетв.;Поддержка семьи;3.0;7.0;9.0;9.0;7.0;Средний слой;1.0;10000.0;0.0;Отдельная кварт.;Не изменится
